Module,Test Scenario,Test Case ID,Test Case Name,Test Steps,Test Data,Expected Result,Actual Result,Status,Priority,Fixed By,Tested By,Test Date
MODULE 7 - SESSION RESULTS,Graph Data Integrity,TC-CS-151,Verify last score,Check dot on graph,Last score 86%,Most recent dot matches 86% accurately,,Untested,High,None,None,
MODULE 7 - SESSION RESULTS,Retry Button,TC-CS-152,Click Try Again,Click Retry on result,None,Restarts Practice Activity immediately,,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Share Button,TC-CS-153,Click Share,Click Share icon,None,Opens Android Share Sheet with score text,,Untested,Low,None,None,
MODULE 7 - SESSION RESULTS,Share Formatting,TC-CS-154,Verify share text,Select copy to clipboard,None,Text: 'I scored 86% playing Salsa on CultureSync!',,Untested,Low,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 1,TC-CS-155,Score mapping,Force backend score 5%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 2,TC-CS-156,Score mapping,Force backend score 10%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 3,TC-CS-157,Score mapping,Force backend score 15%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 4,TC-CS-158,Score mapping,Force backend score 20%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 5,TC-CS-159,Score mapping,Force backend score 25%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 6,TC-CS-160,Score mapping,Force backend score 30%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 7,TC-CS-161,Score mapping,Force backend score 35%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 8,TC-CS-162,Score mapping,Force backend score 40%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 9,TC-CS-163,Score mapping,Force backend score 45%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 10,TC-CS-164,Score mapping,Force backend score 50%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 11,TC-CS-165,Score mapping,Force backend score 55%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 12,TC-CS-166,Score mapping,Force backend score 60%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 13,TC-CS-167,Score mapping,Force backend score 65%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 14,TC-CS-168,Score mapping,Force backend score 70%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 15,TC-CS-169,Score mapping,Force backend score 75%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 7 - SESSION RESULTS,Score Bounds Test 16,TC-CS-170,Score mapping,Force backend score 80%,Mocked scores,"UI accurately changes color based on score (Red<50, Yellow<80, Green>80)",,Untested,Medium,None,None,
MODULE 8 - LEADERBOARD,Fetch Leaderboard,TC-CS-171,Load global ranks,Click Leaderboard tab,None,Fetches global top 100 users,,Untested,High,None,None,
MODULE 8 - LEADERBOARD,User Ranking,TC-CS-172,Find self,Scroll down,Current User ID,Current user is highlighted in the list,,Untested,Medium,None,None,
MODULE 8 - LEADERBOARD,Empty Leaderboard,TC-CS-173,Server returns empty,"Clear DB, reload",No data,Shows 'No data available yet',,Untested,Medium,None,None,
MODULE 8 - LEADERBOARD,Filter By Technique,TC-CS-174,Switch leaderboard filter,Select 'Tango' in dropdown,Tango,List refreshes to show top Tango performers,,Untested,High,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 1,TC-CS-175,Infinite scroll ranks,Scroll down ranks,Rank 10,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 2,TC-CS-176,Infinite scroll ranks,Scroll down ranks,Rank 20,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 3,TC-CS-177,Infinite scroll ranks,Scroll down ranks,Rank 30,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 4,TC-CS-178,Infinite scroll ranks,Scroll down ranks,Rank 40,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 5,TC-CS-179,Infinite scroll ranks,Scroll down ranks,Rank 50,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 6,TC-CS-180,Infinite scroll ranks,Scroll down ranks,Rank 60,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 7,TC-CS-181,Infinite scroll ranks,Scroll down ranks,Rank 70,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 8,TC-CS-182,Infinite scroll ranks,Scroll down ranks,Rank 80,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 9,TC-CS-183,Infinite scroll ranks,Scroll down ranks,Rank 90,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 10,TC-CS-184,Infinite scroll ranks,Scroll down ranks,Rank 100,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 8 - LEADERBOARD,Paging Leaderboard 11,TC-CS-185,Infinite scroll ranks,Scroll down ranks,Rank 110,Seamlessly loads next 10 items without crashing,,Untested,Low,None,None,
MODULE 9 - PROFILE & SETTINGS,Load Profile Data,TC-CS-186,Open profile tab,Click Profile,None,"Shows user name, email, join date, total sessions",,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Edit Name,TC-CS-187,Change Display Name,Click Edit -> Change name -> Save,New Name,Updates Room DB and sends PATCH to /api/auth,,Untested,High,None,None,
MODULE 9 - PROFILE & SETTINGS,Change Avatar,TC-CS-188,Upload profile picture,Click Avatar -> Select Image,Valid PNG,Uploads to /api/auth/avatar via Multer,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Settings Theme,TC-CS-189,Toggle Dark Mode,Click Theme toggle,None,App switches smoothly to Dark Theme,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 1,TC-CS-190,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 2,TC-CS-191,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 3,TC-CS-192,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 4,TC-CS-193,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 5,TC-CS-194,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 6,TC-CS-195,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 7,TC-CS-196,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 8,TC-CS-197,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 9,TC-CS-198,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 10,TC-CS-199,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
MODULE 9 - PROFILE & SETTINGS,Profile Stat Accuracy 11,TC-CS-200,Validate math,"Complete 1 practice, check total",Count,Total Sessions stat increments by exactly 1,,Untested,Medium,None,None,
